IDP1,PupaeSum,NumCriaderos,PupaeIndex,Illiteracy,Unemployment,Overcrowding,LarvaePresence,NumChildren,NumAdults,InterruptFreq,InterruptDurHrs,TrashCollectPerWk,LargeSolidColl,SewerConn,FumigLWs,AbateLWs,BiolarvLWs,CanopyUse,ProtectMesh,BreedingSites,VolCriadero,OutsideLocation,DirtyWater,WaterVol,week0,week1,week2
26767,4,1,4,1.670160099,7.840478838,2.009775574,0,0,6,0,0.37,3,1,0.895666667,0,0.11,1,0,0.64,0.446666667,0,1,0,146,0,0,0.167800991
26735,10,1,10,1.670160099,7.840478838,2.009775574,0,0,5,0,0.4,3,1,0.885666667,0,0.13,1,0,0.6,0.396666667,0,1,0,146,0,0,0.167800991
42593,1,1,1,5.544276224,12.32510689,4.584737789,1,2.295833333,2,1,3,3,0,1,0,0,0,1,0,1,252000,1,0,1,0,0,0
877,3,1,3,5.544276224,12.32510689,4.584737789,1,1,3,0,0,3,1,1,0,0,1,0,0,0,1200,0,0,24,2.564157376,10.84068786,0
42575,13,1,13,5.544276224,12.32510689,4.584737789,1,2.165,3,1,3,3,0,1,0,0,0,1,0,1,700,0,0,1,0,0,0
892,2,1,2,5.544276224,12.32510689,4.584737789,1,1,4,0,0,3,1,1,0,0,1,0,0,1,4,1,1,1,2.564157376,10.84068786,0
42584,1,1,1,5.544276224,12.32510689,4.584737789,1,2.061666667,5,1,3,3,0,1,0,0,0,1,0,1,288000,1,0,1,0,0,0
894,2,1,2,5.544276224,12.32510689,4.584737789,1,2,4,0,0,3,1,1,0,0,1,0,0,1,1200,1,1,24,2.564157376,10.84068786,0
41674,30,1,30,3.645835426,11.31815091,3.274999976,1,1.4725,2,1,2,3,0,1,0,0,0,1,0,0,108000,1,0,1,0,0,0.100000001
46460,65,4,16,3.645835426,11.31815091,3.274999976,1,0,6,0,0,3,1,1,1,1,0,1,0,1,34.75,1,1,4,0.949999988,2.375,2.774999976
37866,10,1,10,3.645835426,11.31815091,3.274999976,1,2,3,1,3,3,1,1,0,0,1,1,0,1,216000,1,0,1,3.401069011,36.16502565,20.02157687
42652,2,1,2,3.645835426,11.31815091,3.274999976,1,3,4,1,3,3,0,1,1,0,1,1,0,0,288000,0,0,1,0,0.100000001,0.05748484
46453,2,1,2,3.645835426,11.31815091,3.274999976,1,2,2,0,0,3,1,1,1,1,1,1,0,1,4800,1,0,1,0.949999988,2.375,2.774999976
37853,8,1,8,3.645835426,11.31815091,3.274999976,1,0,3,1,2,3,1,1,0,0,1,1,0,1,288000,1,0,1,3.401069011,36.16502565,20.02157687
42384,10,1,10,3.645835426,11.31815091,3.274999976,1,6,4,1,4,3,0,1,0,0,1,1,0,1,72000,1,0,1,0,0,0
42679,32,1,32,3.645835426,11.31815091,3.274999976,1,1,6,1,24,3,0,1,0,0,1,1,0,1,96000,1,0,1,0,0.100000001,0.05748484
37610,11,1,11,3.645835426,11.31815091,3.274999976,1,0,1,1,3,7,1,1,1,0,0,0.96,0,1,67280,1,0,1,3.401069011,36.16502565,20.02157687
41729,13,1,13,3.645835426,11.31815091,3.274999976,1,1,5,1,2,3,0,1,0,0,0,1,0,1,252000,1,0,1,0,0,0.100000001
42385,13,1,13,3.645835426,11.31815091,3.274999976,1,2,7,1,4,3,0,1,0,0,1,1,0,1,18000,1,0,1,0,0,0
42360,11,1,11,3.645835426,11.31815091,3.274999976,1,2,5,1,4,3,0,1,0,0,1,1,0,1,147,0,1,1,0,0,0
37839,41,1,41,3.645835426,11.31815091,3.274999976,1,1,3,1,3,3,1,1,0,0,1,1,0,1,360000,1,0,1,3.401069011,36.16502565,20.02157687
41709,3,1,3,3.645835426,11.31815091,3.274999976,1,2.204166667,7,1,2,3,0,1,0,0,1,1,0,1,324000,1,0,1,0,0,0.100000001
42506,1,1,1,3.645835426,11.31815091,3.274999976,1,2.014166667,6,1,4,3,0,1,1,0,0,1,0,1,700,1,0,1,0,0,0
42358,39,2,20,3.645835426,11.31815091,3.274999976,1,1,3,1,4,3,0,1,0,0,1,1,0,1,91125,0,0,2,0,0,0
42546,11,1,11,3.645835426,11.31815091,3.274999976,1,2.418666667,3,1,4,3,0,1,0,0,0,1,0,1,216000,1,0,1,0,0,0
45823,1,1,1,3.645835426,11.31815091,3.274999976,1,5,3,0,0,3,0.92,1,0,1,0,1,0,1,20,1,0,1,0.949999988,2.375,2.774999976
42692,80,2,40,3.645835426,11.31815091,3.274999976,1,4,2,1,24,3,0,1,0,0,1,1,0,1,450000,1,0,2,0,0.100000001,0.05748484
45690,25,1,25,3.645835426,11.31815091,3.274999976,1,0,6,0,0,3,1,1,0,0,1,1,0,1,64000,1,0,1,0.949999988,2.375,2.774999976
41498,9,1,9,3.645835426,11.31815091,3.274999976,1,1,2,1,2,3,0,1,0,0,1,1,0,1,343,1,1,1,0,0.100000001,0.05748484
42696,9,1,9,3.645835426,11.31815091,3.274999976,1,2,3,1,24,3,0,1,0,0,1,1,0,1,25000,1,0,1,0,0.100000001,0.05748484
42471,15,1,15,3.645835426,11.31815091,3.274999976,1,2.075984848,5,1,4,3,0,1,0,0,0,1,0,1,180000,1,0,1,0,0,0
46425,3,2,2,3.645835426,11.31815091,3.274999976,1,4,4,0,0,3,1,1,1,1,1,1,0,1,75050,1,0,2,0.949999988,2.375,2.774999976
45708,18,1,18,3.645835426,11.31815091,3.274999976,1,2,4,0,0,3,1,1,1,1,0,1,0,1,11250,1,1,1,0.949999988,2.375,2.774999976
42436,21,1,21,3.645835426,11.31815091,3.274999976,1,2.194318182,2,1,4,3,0,1,0,0,0,1,0,1,48000,0,0,1,0,0,0
42437,41,1,41,3.645835426,11.31815091,3.274999976,1,2.188961039,2,1,4,3,0,1,0,0,0,1,0,1,320000,1,0,1,0,0,0
45842,4,1,4,3.645835426,11.31815091,3.274999976,1,3,1,0,0,3,1,1,1,0,0,0,0,1,4500,1,1,1,0.949999988,2.375,2.774999976
37627,4,1,4,3.645835426,11.31815091,3.274999976,1,2,5,1,3,7,1,1,0,0,1,1,0,1,36000,1,0,1,3.401069011,36.16502565,20.02157687
42495,6,1,6,3.645835426,11.31815091,3.274999976,1,2.219318182,3,1,4,3,0,1,0,0,0,1,0,0,216000,1,0,1,0,0,0
45686,4,1,4,3.645835426,11.31815091,3.274999976,1,0,3,0,0,3,1,1,0,0,1,1,0,1,25,1,1,1,0.949999988,2.375,2.774999976
42391,22,1,22,3.645835426,11.31815091,3.274999976,1,2.22047619,4,1,4,3,0,1,0,0,1,1,0,1,252000,1,1,1,0,0,0
37742,22,1,22,3.645835426,11.31815091,3.274999976,1,1,7,1,2,3,1,1,0,0,1,1,0,1,201840,1,0,1,3.401069011,36.16502565,20.02157687
37628,5,1,5,3.645835426,11.31815091,3.274999976,1,0,4,1,3,7,1,1,0,0,1,1,0,1,288000,0,0,1,3.401069011,36.16502565,20.02157687
37802,18,1,18,3.645835426,11.31815091,3.274999976,1,3,2,1,2,3,1,1,0,0,1,1,0,1,9000,1,1,1,3.401069011,36.16502565,20.02157687
37800,77,3,26,3.645835426,11.31815091,3.274999976,1,2,5,1,2,4,1,1,0,0,1,1,0,1,6.00E+05,1,0,3,3.401069011,36.16502565,20.02157687
41708,18,1,18,3.645835426,11.31815091,3.274999976,1,1.6975,4,1,2,3,0,1,0,0,1,1,0,1,48000,1,0,1,0,0,0.100000001
40495,2,1,2,3.645835426,11.31815091,3.274999976,1,1,7,0,0,3,1,1,0,0,0,1,0,1,288000,1,0,1,0,0.100000001,0
45859,25,1,25,3.645835426,11.31815091,3.274999976,1,1,3,0,0,3,1,1,1,0,1,0,0,1,900,1,1,1,0.949999988,2.375,2.774999976
42693,32,1,32,3.645835426,11.31815091,3.274999976,1,3,3,1,24,3,0,1,0,0,1,1,0,1,216000,0,0,1,0,0.100000001,0.05748484
42388,32,1,32,3.645835426,11.31815091,3.274999976,1,2,4,1,4,3,0,1,0,0,1,1,0,1,144000,0,0,1,0,0,0
41679,41,1,41,3.645835426,11.31815091,3.274999976,1,1.74,2,1,2,3,0,1,0,0,0,1,0,0,72000,1,0,146,0,0,0.100000001
37735,22,1,22,3.645835426,11.31815091,3.274999976,1,1,7,1,2,3,1,1,0,0,1,0.95,0.05,0.98,500,1,0,1,3.401069011,36.16502565,20.02157687
40237,16,1,16,3.645835426,11.31815091,3.274999976,1,4,6,0,0,3,1,1,1,1,1,1,0,1,25000,0,1,1,0,0.100000001,0
41690,20,1,20,3.645835426,11.31815091,3.274999976,1,2.017857143,2,1,2,3,0,1,0,0,1,1,0,1,245,0,0,1,0,0,0.100000001
45689,4,1,4,3.645835426,11.31815091,3.274999976,1,2,3,0,0,3,1,1,1,1,0,1,0,1,1.00E+05,1,0,1,0.949999988,2.375,2.774999976
37670,22,2,11,3.645835426,11.31815091,3.274999976,1,1,2,1,4,3,1,1,0,0,0,1,0,1,86350,1,0,2,3.401069011,36.16502565,20.02157687
37654,18,1,18,3.645835426,11.31815091,3.274999976,1,1,2,1,2,0,0.96,1,0,0,0,1,0,1,9000,1,0,1,3.401069011,36.16502565,20.02157687
40232,3,1,3,3.645835426,11.31815091,3.274999976,1,1,2,0,0,3,1,1,1,1,1,1,0,1,360,0,0,1,0,0.100000001,0
33946,1,1,1,3.213115076,11.87594236,3.394999981,1,1,5,0,0,3,1,1,0,1,0.13,0,0.18,0.285,0,0,0,12,12.2249999,22.04999924,2.399999976
33976,4,1,4,3.213115076,11.87594236,3.394999981,1,4,6,0,0,3,1,1,0,0,0.21,0,0.17,0.64,72000,1,0,1,12.2249999,22.04999924,2.399999976
31674,18,1,18,3.213115076,11.87594236,3.394999981,1,5,5,0,0.00E+00,2.98,1,0.99,1,0,0,0,0.17,0.315,0,1,1,64,12.2249999,22.04999924,2.399999976
30907,4,1,4,3.213115076,11.87594236,3.394999981,1,3,5,0,0,3,1,1,1,0,0,0,0.17,0.335,0,1,0,23,12.2249999,22.04999924,2.399999976
31114,31,1,31,3.213115076,11.87594236,3.394999981,1,0,3,0,0.00E+00,3,1,1,1,0,0,0,0.15,0.375,0,1,0,23,12.2249999,22.04999924,2.399999976
31151,15,3,5,3.213115076,11.87594236,3.394999981,1,2,3,0,0,3,1,1,0,0,0,0,0.19,0.395,0,1,0,3,12.2249999,22.04999924,2.399999976
31670,32,2,16,3.213115076,11.87594236,3.394999981,1,3,5,0,0,2.68,0.95,1,1,0,0,0,0.16,0.255,0,0,0,208,12.2249999,22.04999924,2.399999976
30911,35,2,18,3.213115076,11.87594236,3.394999981,1,0,5,0,0,3,1,1,0,0.193636364,0.05,0,0.18,0.275,0,1,0,180,12.2249999,22.04999924,2.399999976
42651,12,1,12,3.213115076,11.87594236,3.394999981,1,2,2,1,4,3,0,1,1,0,1,1,0,1,288000,1,0,1,0,0,0
33594,10,1,10,3.213115076,11.87594236,3.394999981,1,4,6,0,0,3,1,1,0,0.18,0.31,0,0.18,0.66,108000,1,0,1,12.2249999,22.04999924,2.399999976
33690,20,1,20,3.213115076,11.87594236,3.394999981,1,5,3,0,0,3,1,1,0,0.07,0.15,0,0.17,0.375,0,1,1,5,12.2249999,22.04999924,2.399999976
33623,1,1,1,3.213115076,11.87594236,3.394999981,0,0,4,0,0,3,1,1,1,0.498333333,0.15,0,0.143333333,0.335,0,1,0,50,12.2249999,22.04999924,2.399999976
33748,30,1,30,3.213115076,11.87594236,3.394999981,0,0,2,0,0,3,1,1,0,1,0.14,0,0.163333333,0.335,0,1,0,64,12.2249999,22.04999924,2.399999976
43480,14,1,14,3.213115076,11.87594236,3.394999981,1,1.7925,1,0,0,3,0,1,0,1,1,0,0,1,6000,1,1,1,7.776312525,1.241229172,13.57368777
42613,20,1,20,3.213115076,11.87594236,3.394999981,1,2,7,1,4,3,0,1,0,0,1,1,0,1,48000,1,0,1,0,0,0
31628,15,2,8,3.213115076,11.87594236,3.394999981,1,0,2,0,0,3,1,1,0,0,0,0,0.16,0.455,0,1,0,2,12.2249999,22.04999924,2.399999976
31120,3,1,3,3.213115076,11.87594236,3.394999981,1,0,1,0,0.00E+00,3,1,1,1,1,0.1,0,0.15,0.42,0,1,1,12,12.2249999,22.04999924,2.399999976
33578,3,1,3,3.213115076,11.87594236,3.394999981,1,0,4,0,0,3,1,1,0,0.106666667,0.05,0,0.16,0.285,0,1,0.04,116,12.2249999,22.04999924,2.399999976
30891,13,1,13,3.213115076,11.87594236,3.394999981,1,2,3,0,0,3,1,1,1,0.08,0.01,0,0.21,0.345,0,1,1,92,12.2249999,22.04999924,2.399999976
33163,16,1,16,3.213115076,11.87594236,3.394999981,1,3,2,0,0.00E+00,3,1,1,0.412380952,0.256,0.04,0,0.17,0.345,0,0,0,83,12.2249999,22.04999924,2.399999976
43487,118,5,24,3.213115076,11.87594236,3.394999981,1,2.1425,2,0,0,3,0,1,1,1,1,1,0,1,29160,1,0,5,7.776312525,1.241229172,13.57368777
42645,35,1,35,3.213115076,11.87594236,3.394999981,1,1,3,1,4,3,0,1,1,0,1,1,0,1,288000,1,0.03,1,0,0,0
33569,5,1,5,3.213115076,11.87594236,3.394999981,1,2,1,0,0,3,1,1,0,0.185,0.3,0,0.24,0.745,180000,1,0,1,12.2249999,22.04999924,2.399999976
31014,68,2,34,3.213115076,11.87594236,3.394999981,1,1,5,0,0,3,1,1,1,0,0,0,0.16,0.245,0,0.935,0.2255,147,12.2249999,22.04999924,2.399999976
31069,13,1,13,3.213115076,11.87594236,3.394999981,1,0,5,0,0,3,1,1,0,0,0,0,0.21,0.415,0,1,1,1,12.2249999,22.04999924,2.399999976
42639,25,1,25,3.213115076,11.87594236,3.394999981,1,2,5,1,4,3,0,1,1,0,1,1,0,1,512000,1,0,1,0,0,0
31667,3,1,3,3.213115076,11.87594236,3.394999981,1,3,5,0,0.00E+00,2.7,0.97,1,0.428214286,1,0.12,0,0.14,0.225,0,1,0,116,12.2249999,22.04999924,2.399999976
45752,5,1,5,3.213115076,11.87594236,3.394999981,1,0,5,0,0,3,0.583333333,1,1,1,1,1,0,0,5400,1,1,1,7.776312525,1.241229172,13.57368777
42731,9,1,9,3.213115076,11.87594236,3.394999981,1,1.9525,1,1,4,3,0,1,0,0,1,1,0,0,360000,1,0,1,0,0,0
33206,10,1,10,3.213115076,11.87594236,3.394999981,1,2,2,0,0,3,1,1,0,0,0.00E+00,0,0.18,0.335,0,1,0,64,12.2249999,22.04999924,2.399999976
33064,16,1,16,3.213115076,11.87594236,3.394999981,1,2,4,0,0.24,1,1,1,0,0.188333333,0.05,0,0.21,0.255,0,1,0,83,12.2249999,22.04999924,2.399999976
31558,42,1,42,3.213115076,11.87594236,3.394999981,1,3,4,0,0,3,1,1,0,0,0,0,0.21,0.425,0,1,0,1,12.2249999,22.04999924,2.399999976
31002,5,1,5,3.213115076,11.87594236,3.394999981,1,1,2,0,0,3,1,1,1,0.075,0.01,0,0.22,0.375,0,1,0,68,12.2249999,22.04999924,2.399999976
43031,3,1,3,3.213115076,11.87594236,3.394999981,1,1,4,0,0,3,1,1,0,0,1,1,0,1,6,1,1,1,1.756145772,2.150000095,7.776312525
34588,32,2,16,3.213115076,11.87594236,3.394999981,1,0,5,0,0.00E+00,3,1,1,1,0.25130303,0.04,0,0.14,0.265,0,1,0,208,12.2249999,22.04999924,2.399999976
31610,13,1,13,3.213115076,11.87594236,3.394999981,1,0,6,0,0,3,1,1,0,0,0,0,0.21,0.305,0,1,0,23,12.2249999,22.04999924,2.399999976
43042,5,1,5,3.213115076,11.87594236,3.394999981,1,2,9,0,0,3,1,1,0,0,0,0.79,1,1,2500,1,1,1,1.756145772,2.150000095,7.776312525
33121,6,2,3,3.213115076,11.87594236,3.394999981,1,1,3,0,0.00E+00,3,1,1,0,0.17,0.04,0,0.15,0.285,0,1,0,106,12.2249999,22.04999924,2.399999976
31094,22,1,22,3.213115076,11.87594236,3.394999981,1,0,3,0,0,3,1,1,0.314333333,0,0,0,0.17,0.305,0,1,0,83,12.2249999,22.04999924,2.399999976
43472,3,1,3,3.213115076,11.87594236,3.394999981,1,1,4,0,0,3,0,1,0.355,1,1,1,0,1,8000,1,1,1,7.776312525,1.241229172,13.57368777
31656,10,1,10,3.213115076,11.87594236,3.394999981,1,3,3,0,0,3,1,1,0,0,0,0,0.18,0.365,0,1,1,23,12.2249999,22.04999924,2.399999976
31621,3,1,3,3.213115076,11.87594236,3.394999981,1,1,3,0,0.00E+00,3,1,1,0,0,0,0,0.15,0.345,0,0,0,68,12.2249999,22.04999924,2.399999976
33153,1,1,1,3.213115076,11.87594236,3.394999981,1,3,1,0,0.00E+00,3,1,1,1,0,0.031666667,0,0.15,0.39,0,1,0,44,12.2249999,22.04999924,2.399999976
31676,22,1,22,3.213115076,11.87594236,3.394999981,1,0,1,0,0.00E+00,3,1,1,1,1,0.09,0,0.18,0.35,0,1,0,83,12.2249999,22.04999924,2.399999976
30956,33,2,16,3.213115076,11.87594236,3.394999981,1,3,2,0,0,3,0.97,1,0,1,0.11,0,0.16,0.345,0,0,0,52,12.2249999,22.04999924,2.399999976
31625,55,2,28,3.213115076,11.87594236,3.394999981,1,5,5,0,0,3,1,1,0,0,0,0,0.17,0.305,0,1,1,31,12.2249999,22.04999924,2.399999976
43029,1,1,1,3.213115076,11.87594236,3.394999981,1,2,4,0,0,3,1,1,0,0,0,1,0,1,75,0.790833333,1,1,1.756145772,2.150000095,7.776312525
30992,4,1,4,3.213115076,11.87594236,3.394999981,1,1,4,0,0.00E+00,3,1,1,0,0,0.17,0,0.17,0.445,0,1,0,1,12.2249999,22.04999924,2.399999976
43023,3,1,3,3.213115076,11.87594236,3.394999981,1,1,3,0,0,3,1,1,1,1,1,0.941666667,0,1,8000,1,1,1,1.756145772,2.150000095,7.776312525
34044,9,1,9,3.213115076,11.87594236,3.394999981,1,0,5,0,0,3,1,1,0,0,0.00E+00,0,0.18,0.295,0,1,0,64,12.2249999,22.04999924,2.399999976
42549,40,1,40,3.213115076,11.87594236,3.394999981,1,1,4,1,4,3,0,1,0,0,1,1,0,1,288000,0,0,1,0,0,0
42629,7,1,7,3.213115076,11.87594236,3.394999981,1,1,4,1,4,3,0,1,1,0,1,1,0,1,216000,1,0,1,0,0,0
45733,21,1,21,3.213115076,11.87594236,3.394999981,1,4,4,0,0,3,0.608333333,1,1,0.818,0.630666667,0.706666667,0,0,12000,1,1,1,7.776312525,1.241229172,13.57368777
31585,5,1,5,3.213115076,11.87594236,3.394999981,1,0,3,0,0,3,1,1,0,0,0,0,0.24,0.365,0,1,0,23,12.2249999,22.04999924,2.399999976
43523,29,1,29,3.213115076,11.87594236,3.394999981,1,2,3,0,0,3,1,1,1,1,1,1,0,1,150,1,1,1,7.776312525,1.241229172,13.57368777
30988,2,1,2,3.213115076,11.87594236,3.394999981,1,1,4,0,0,3,1,1,1,0,0.26,0,0.15,0.465,0,0.968333333,0.188666667,1,12.2249999,22.04999924,2.399999976
43482,3,1,3,3.213115076,11.87594236,3.394999981,1,1.774166667,2,0,0,3,0,1,0,1,1,1,0,1,8000,1,0,1,7.776312525,1.241229172,13.57368777
43052,1,1,1,3.213115076,11.87594236,3.394999981,1,2,3,0,0,3,1,1,1,1,0,0.75,0,0,3600,0,0,1,1.756145772,2.150000095,7.776312525
31540,1,1,1,3.213115076,11.87594236,3.394999981,1,0,1,0,0,3,1,1,0,0,0,0,0.17,0.45,0,1,0,1,12.2249999,22.04999924,2.399999976
42564,10,1,10,3.213115076,11.87594236,3.394999981,1,6,10,1,4,3,0,1,0,0,1,1,0,1,288000,1,0,1,0,0,0
34563,62,2,31,3.213115076,11.87594236,3.394999981,1,4,4,0,0.00E+00,3,1,1,0,0.193636364,0.06,0,0.15,0.345,0,1,0,46,12.2249999,22.04999924,2.399999976
43495,15,1,15,3.213115076,11.87594236,3.394999981,1,3,9,0,0,3,0.298333333,1,1,1,1,0,0,0.895,12000,1,0,1,7.776312525,1.241229172,13.57368777
43512,1,1,1,3.213115076,11.87594236,3.394999981,1,2,4,0,0,3,0,1,1,1,0,1,0,1,275000,1,0,1,7.776312525,1.241229172,13.57368777
31548,5,1,5,3.213115076,11.87594236,3.394999981,1,1,5,0,0,3,1,1,0,0,0,0,0.24,0.405,0,1,0,1,12.2249999,22.04999924,2.399999976
34609,6,1,6,3.213115076,11.87594236,3.394999981,1,3,4,0,0.00E+00,3,1,1,0,0.09,0.01,0,0.17,0.345,0,1,0,23,12.2249999,22.04999924,2.399999976
42571,14,1,14,3.213115076,11.87594236,3.394999981,1,1.83,3,1,4,3,0,1,0,0,1,1,0,1,216000,1,0,1,0,0,0
42725,15,1,15,3.213115076,11.87594236,3.394999981,1,1.9425,1,1,4,3,0,1,0,0,1,1,0,1,480000,1,0,1,0,0,0
42694,40,1,40,3.213115076,11.87594236,3.394999981,1,2,4,1,4,3,0,1,1,0,1,1,0,1,324000,1,0,1,0,0,0
34055,13,1,13,3.213115076,11.87594236,3.394999981,1,4,2,0,0,3,1,1,0,0,0.00E+00,0,0.18,0.375,0,1,1,18,12.2249999,22.04999924,2.399999976
43490,14,1,14,3.213115076,11.87594236,3.394999981,1,3,4,0,0,3,0,1,1,0.87,1,1,1,1,1500,1,1,1,7.776312525,1.241229172,13.57368777
31569,3,1,3,3.213115076,11.87594236,3.394999981,1,3,3,0,0,3,1,1,0,0,0,0,0.15,0.325,0,1,0,68,12.2249999,22.04999924,2.399999976
31580,1,1,1,3.213115076,11.87594236,3.394999981,0,5,2,0,0.00E+00,3,1,1,0,0,0,0,0.213333333,0.375,0,1,0,92,12.2249999,22.04999924,2.399999976
43469,1,1,1,2.439121331,11.97252382,2.909999967,1,1.326666667,1,0,0,3,1,1,0,1,0,1,0,0,1800,0,0,1,28.5679016,1.238420515,8.060519722
42982,13,1,13,2.439121331,11.97252382,2.909999967,1,2,6,0,0,3,1,1,1,1,0,1,1,1,75000,1,0,1,0.363582572,9.21781352,0
43463,27,1,27,2.439121331,11.97252382,2.909999967,1,2.576666667,12,0,0,3,0.67,0.98,0,1,1,1,0,0.67,80000,0.83,0,1,28.5679016,1.238420515,8.060519722
42981,1,1,1,2.439121331,11.97252382,2.909999967,1,1.646666667,3,0,0,5,1,1,0,1,0,1,1,1,242000,1,0,1,0.363582572,9.21781352,0
43457,3,1,3,2.439121331,11.97252382,2.909999967,1,0,6,0,0,3,1,1,0,0,0,1,1,1,181500,1,0,1,28.5679016,1.238420515,8.060519722
42975,25,1,25,2.439121331,11.97252382,2.909999967,1,3,5,1,4,5,1,1,1,1,1,1,0,1,272250,1,0,1,0.363582572,9.21781352,0
43460,10,1,10,2.439121331,11.97252382,2.909999967,1,1.966666667,2,0,0,3,0.73,1,0.14,1,1,1,0,0.74,120000,1,0,1,28.5679016,1.238420515,8.060519722
43454,7,1,7,2.439121331,11.97252382,2.909999967,1,2,5,1,6,3,0.68,0.98,0.18,0.61,0.54,1,0,0.75,280000,1,1,1,28.5679016,1.238420515,8.060519722
43458,4,1,4,2.439121331,11.97252382,2.909999967,1,1,3,0,0,3,1,1,0,0,0,0.74,1,0.55,1500,1,1,1,28.5679016,1.238420515,8.060519722
43452,36,1,36,2.439121331,11.97252382,2.909999967,1,2,4,0,0,3,0.67,1,0,0.687142857,0.56,1,1,0.66,5600,1,1,1,28.5679016,1.238420515,8.060519722
42964,12,2,6,2.439121331,11.97252382,2.909999967,1,5,8,1,24,3,1,1,1,1,0,0.91,0,1,19150,0,0,2,0.363582572,9.21781352,0
42962,67,3,22,2.439121331,11.97252382,2.909999967,1,3,2,1,24,3,1,1,0,0,0,1,0,1,18600,0,1,3,0.363582572,9.21781352,0
8676,8,1,8,1.63148323,7.780300925,1.954912032,1,0,4,1,4,3,1,1,1,0,0,0,0,1,24857,1,0,1,0,0,0
21767,51,2,26,3.25324823,8.881113584,2.145366356,1,1,4,0,0,4,1,1,0,0,1,1,0,0,173296,1,0,2,0,0.100000001,0
21759,5,1,5,3.25324823,8.881113584,2.145366356,1,0,0,1,0,3,0,1,0,0,1,0,1,0,151.25,0,1,1,0,0.100000001,0
21757,4,1,4,3.25324823,8.881113584,2.145366356,1,1,4,0,0,3,0,0.98,0,0,1,1,0,0,196625,0,0,1,0,0.100000001,0
21916,1,1,1,3.25324823,8.881113584,2.145366356,0,4,5,1,3,3,1,1,1,0,1,0,1,1,891,1,0,1,0,0.100000001,0
23567,24,1,24,3.25324823,8.881113584,2.145366356,1,0,2,0,0,2,1,1,1,0,1,1,1,0,100920,1,0,1,0,0.100000001,0
21611,17,1,17,3.25324823,8.881113584,2.145366356,1,0,2,0,0,2,0,1,0,0,1,0,1,0,24300,1,0,1,0,0.100000001,0
21714,37,1,37,3.25324823,8.881113584,2.145366356,1,2,2,1,0,3,0,1,0,0,1,0,0,1,68076,1,1,1,0,0.100000001,0
21873,12,1,12,3.25324823,8.881113584,2.145366356,1,3,7,1,3,3,1,1,1,0,1,1,1,0,110450,1,0,1,0,0.100000001,0
21864,18,1,18,3.25324823,8.881113584,2.145366356,1,2,4,1,12,3,1,1,0,1,1,1,1,1,77658,1,0,1,0,0.100000001,0
21889,2,2,1,3.25324823,8.881113584,2.145366356,1,2,4,1,12,3,1,1,1,0,1,1,0,1,654,0,1,2,0,0.100000001,0
21835,1,1,1,3.25324823,8.881113584,2.145366356,1,1,5,0,0,3,0,1,1,0,1,1,0.52,0,15000,1,0,1,0,0.100000001,0
21881,36,2,18,3.25324823,8.881113584,2.145366356,1,2,4,1,12,3,1,1,1,0,1,1,0,1,617,1,1,2,0,0.100000001,0
21877,17,1,17,3.25324823,8.881113584,2.145366356,1,2,2,1,3,2,1,1,0,0,0,0,1,1,78570,1,0,1,0,0.100000001,0
21857,8,1,8,3.25324823,8.881113584,2.145366356,1,1,4,1,8,3,1,1,0,0,1,1,0,0,279212,1,0,1,0,0.100000001,0
28324,15,1,15,4.087221506,8.426729907,1.860643778,1,1,4,0,0,3,1,0.89,0.18,1,0.81,0,0.49,0.506666667,0,1,0,23,0,6.865883081,0.326966952
28312,6,1,6,4.087221506,8.426729907,1.860643778,1,4,2,0,0,3,1,0.866666667,0.12,0,0.9,0,0.456666667,0.576666667,0,1,1,23,0,6.865883081,0.326966952
28732,5,1,5,4.087221506,8.426729907,1.860643778,1,1,4,0,0,3,1,0.94,0,0.22,0.93,0,0.553333333,0.516666667,0,1,0,1,0,6.865883081,0.326966952
15835,13,1,13,0.952244423,6.616762497,1.597882539,1,1,3,1,24,7,0,1,0,0,0,0,1,0,448,1,0,1,0,20.8800183,0.198481583
66,2,1,2,1.882725216,9.918830077,3.019999981,1,0,2,0,0,3,1,0,0,0,1,0,0,1,0,1,0,146,0,2.525000095,1.049999952
63,7,1,7,1.882725216,9.918830077,3.019999981,1,4,1,0,0,3,1,0,0,0,1,0,0,1,200,1,0,68,0,2.525000095,1.049999952
91,2,1,2,1.882725216,9.918830077,3.019999981,1,1,1,1,0,3,1,0,0,0,1,0,0,1,200,1,0,68,0,2.525000095,1.049999952
79,18,1,18,1.882725216,9.918830077,3.019999981,1,2,1,0,0,3,1,0,0,0,1,0,0,1,600,1,1,20,0,2.525000095,1.049999952
58,11,1,11,1.882725216,9.918830077,3.019999981,1,1,5,0,0,3,1,0,0,0,0,0,0,0,0,1,0,68,0,2.525000095,1.049999952
143,6,1,6,1.882725216,9.918830077,3.019999981,1,3.020574707,3,0,0,3,1,0,1,0,1,0,0,1,200,1,0,68,0,2.525000095,1.049999952
147,1,1,1,1.882725216,9.918830077,3.019999981,1,2.478527088,1,0,0,3,1,0,1,0,1,0,0,1,1200,1,0,24,0,2.525000095,1.049999952
149,7,1,7,1.882725216,9.918830077,3.019999981,1,2,2,0,0,3,1,0,1,0,1,0,0,1,1200,1,0,24,0,2.525000095,1.049999952
80,1,1,1,1.882725216,9.918830077,3.019999981,1,1,2,0,0,3,1,0,0,0,1,0,0,1,3000,1,1,92,0,2.525000095,1.049999952
