"","PupaeIndex","Illiteracy","Unemploy","Overcrowd","LarvaePres","NumChildren","NumAdults","InterruptFreq","InterruptD","TrashCollectPerWk","LargeSolidColl","SewerConn","FumigLWs","AbateLWs","BiolarvLWs","CanopyUse","ProtectMesh","VolCriadero","OutsideLocation","DirtyWater","WaterVol","XCoord","YCoord","week0","week1","week2","IncPov","ExtrPov","HHOverC","PubWater","Sewerage","BasicSer","GlobalEmp","Unemployment","SecSchool"
"1",8,3.744929195,11.7108967,3.033398897,1,0,2,1,12,4,0,1,0,0,1,0,0,2560,0,0,1,-79.91332,-2.21943,0.169591813,6.992085614,0,0.084983825985046,0.01043084626103,0.082700890815412,0.998815631660555,0.99880459184249,0.947200507673633,0.960492735545613,0.039507264454387,0.900244028175116
"2",1,2.439778094,10.30468659,2.869627853,1,1,4,0,0,3,1,1,0,0,1,1,0,350,1,1,1,-79.91303,-2.21067,0,0.100000001,0,0.084983825985046,0.01043084626103,0.082700890815412,0.998815631660555,0.99880459184249,0.947200507673633,0.960492735545613,0.039507264454387,0.900244028175116
"3",10,3.744929195,11.7108967,3.033398897,1,0,6,1,12,4,1,1,0,0,1,1,0,41070,1,1,1,-79.91221,-2.21974,0.169591813,6.992085614,0,0.084983825985046,0.01043084626103,0.082700890815412,0.998815631660555,0.99880459184249,0.947200507673633,0.960492735545613,0.039507264454387,0.900244028175116
"4",9,1.84816742,9.895732203,4.215658465,1,0,2,1,3,7,1,1,0,0,0,1,0,3168,1,1,1,-79.91048,-2.20872,0,0,0,0.084983825985046,0.01043084626103,0.082700890815412,0.998815631660555,0.99880459184249,0.947200507673633,0.960492735545613,0.039507264454387,0.900244028175116
"5",9,1.84816742,9.895732203,4.215658465,1,0,4,1,1,7,1,1,0,0,1,1,0,323680,1,0,1,-79.91015,-2.21142,0,0,0,0.084983825985046,0.01043084626103,0.082700890815412,0.998815631660555,0.99880459184249,0.947200507673633,0.960492735545613,0.039507264454387,0.900244028175116
"6",17,3.744929195,11.7108967,3.033398897,1,0,2,1,2,4,0,1,0,0,1,1,0,201840,1,0,1,-79.91007,-2.2199,0.169591813,6.992085614,0,0.084983825985046,0.01043084626103,0.082700890815412,0.998815631660555,0.99880459184249,0.947200507673633,0.960492735545613,0.039507264454387,0.900244028175116
"7",7,1.833700929,10.7776026,2.285484607,1,3,1,0,0,3,1,1,0,0,1,0,0,0,1,1,120,-79.90892,-2.21728,38.34469974,2.296983515,37.33416219,0.084983825985046,0.01043084626103,0.082700890815412,0.998815631660555,0.99880459184249,0.947200507673633,0.960492735545613,0.039507264454387,0.900244028175116
"8",7,1.833700929,10.7776026,2.285484607,1,0,4,0,0,3,1,1,0,0,1,0,0,0,1,0,92,-79.90892,-2.21728,38.34469974,2.296983515,37.33416219,0.084983825985046,0.01043084626103,0.082700890815412,0.998815631660555,0.99880459184249,0.947200507673633,0.960492735545613,0.039507264454387,0.900244028175116
"9",1,1.833700929,10.7776026,2.285484607,1,0,4,0,0,3,1,1,1,1,1,0,1,0,1,0,23,-79.90892,-2.21728,38.34469974,2.296983515,37.33416219,0.084983825985046,0.01043084626103,0.082700890815412,0.998815631660555,0.99880459184249,0.947200507673633,0.960492735545613,0.039507264454387,0.900244028175116
"10",2,1.833700929,10.7776026,2.285484607,1,0,3,0,0,3,1,1,0,1,1,0,0,0,1,1,64,-79.90892,-2.21728,38.34469974,2.296983515,37.33416219,0.084983825985046,0.01043084626103,0.082700890815412,0.998815631660555,0.99880459184249,0.947200507673633,0.960492735545613,0.039507264454387,0.900244028175116
