"","KEYSC","IDP1","PupaeSum","NumCriaderos","PupaeIndex","Date","CEpiWeek","Illiteracy","Unemployment","Overcrowding","LarvaePresence","NumChildren","NumAdults","InterruptFreq","InterruptDurHrs","TrashCollectPerWk","LargeSolidColl","SewerConn","FumigLWs","AbateLWs","BiolarvLWs","CanopyUse","ProtectMesh","BreedingSites","VolCriadero","OutsideLocation","DirtyWater","WaterVol","XCoord","YCoord","week0","week1","week2","week3","week4","week5"
"54","BATALLON DEL SUBURBIO 4 S04",7297,4,1,4,"2013-03-04",10,3.71771319621906,9.95105886515255,3.86702885993554,1,4,8,0,0,3,1,0,0,0,0,0,0,0,0,1,0,29,-79.94175,-2.21201,35.4747684604822,16.8189946025436,23.8958966388102,9.83002626041117,7.51418467872914,0
"55","BATALLON DEL SUBURBIO 4 S04",7313,4,1,4,"2013-03-04",10,3.71771319621906,9.95105886515255,3.86702885993554,1,3,6,0,0,3,1,0,0,0,0,0,0,0,10,1,1,29,-79.94175,-2.21201,35.4747684604822,16.8189946025436,23.8958966388102,9.83002626041117,7.51418467872914,0
"57","BATALLON DEL SUBURBIO 4 S04",7325,56,2,28,"2013-03-04",10,3.71771319621906,9.95105886515255,3.86702885993554,1,1,4,0,0,3,1,0,0,0,0,0,0,0,1801.5,1,1,185,-79.94175,-2.21201,35.4747684604822,16.8189946025436,23.8958966388102,9.83002626041117,7.51418467872914,0
"58","BATALLON DEL SUBURBIO 4 S04",7299,9,1,9,"2013-03-04",10,3.71771319621906,9.95105886515255,3.86702885993554,1,1,8,0,0,3,1,0,0,0,0,0,0,0,2400,1,1,65,-79.94175,-2.21201,35.4747684604822,16.8189946025436,23.8958966388102,9.83002626041117,7.51418467872914,0
"59","BATALLON DEL SUBURBIO 4 S04",7298,25,2,12,"2013-03-04",10,3.71771319621906,9.95105886515255,3.86702885993554,1,4,2,0,0,3,1,0,0,0,0,0,0,0,600,1,0,150,-79.94175,-2.21201,35.4747684604822,16.8189946025436,23.8958966388102,9.83002626041117,7.51418467872914,0
"60","BATALLON DEL SUBURBIO 4 S04",7318,27,1,27,"2013-03-04",10,3.71771319621906,9.95105886515255,3.86702885993554,1,0,3,0,0,3,1,1,0,0,0,0,0,0,0,1,1,1,-79.94175,-2.21201,35.4747684604822,16.8189946025436,23.8958966388102,9.83002626041117,7.51418467872914,0
"61","BATALLON DEL SUBURBIO 4 S04",7335,6,1,6,"2013-03-04",10,3.71771319621906,9.95105886515255,3.86702885993554,1,4,5,0,0,3,1,0,0,0,0,0,0,0,1,1,1,23,-79.94175,-2.21201,35.4747684604822,16.8189946025436,23.8958966388102,9.83002626041117,7.51418467872914,0
"62","BATALLON DEL SUBURBIO 4 S04",7342,55,2,28,"2013-03-04",10,3.71771319621906,9.95105886515255,3.86702885993554,1,2,4,0,0,3,1,0,0,0,0,0,0,0,250.5,1,1,141,-79.94175,-2.21201,35.4747684604822,16.8189946025436,23.8958966388102,9.83002626041117,7.51418467872914,0
"63","CENTENTARIO 5 S05",9667,1,1,1,"2014-10-30",96,1.47973404136788,5.69502325537035,1.64208626196452,1,0,1,0,0,7,1,0,1,0,1,1,0,1,18000,1,0,1,-79.88657,-2.22181,0,0.050000000745058,0.527621533177827,10.4829280817905,0,0.5990632915136
"64","CENTENTARIO 5 S05",8503,3,1,3,"2014-10-28",96,1.47973404136788,5.69502325537035,1.64208626196452,1,0,3,1,3,7,1,1,0,0,1,0,1,1,900,1,1,1,-79.895,-2.21593,0,0.050000000745058,0.527621533177827,10.4829280817905,0,0.5990632915136
