"","PupaeSum","OutsideLocation","DirtyWater","WaterVol","XCoord","YCoord","Year","EpiWk","CEpiWeek","TypeEng","TypeEngNew","MatEng","Sewer","BucketPrt","Bamboo","Toilet","TrashCan","SmlLiqCon","Tank","Vase","Furniture","CarPart","Sink","Pool","Tub","Barrel","MatPlastic","MatMetal","MatCement","MatRubber","MatCeramic","MatGlass"
"788",24,1,1,1,-79.916649,-2.246883,2016,5,162,"Bag","Trash","Plastic",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"789",18,1,0,1,-79.917082,-2.245409,2016,5,162,"Tank","Tank","Plastic",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"790",17,0,1,1,-79.917171,-2.245409,2016,5,162,"Tank","Tank","Metal",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"791",39,1,1,1,-79.91683,-2.245056,2016,5,162,"Tank","Tank","Plastic",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"792",80,0,1,1,-79.916928,-2.46594,2016,5,162,"Puddle","Puddle","Earth",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"794",12,1,0,1,-79.920484,-2.241151,2016,5,162,"Tank","Tank","Cement",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"795",18,1,0,1,-79.921905,-2.240826,2016,4,161,"Tank","Tank","Cement",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"796",12,0,1,1,-79.921337,-2.242101,2016,3,160,"Tank","Tank","Plastic",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"797",8,1,0,1,-79.921121,-2.242155,2016,3,160,"Tank","Tank","Plastic",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"798",2,0,1,1,-79.920795,-2.246271,2016,6,163,"Tank","Tank","Plastic",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"799",1,1,1,1,-79.92164,-2.245738,2016,6,163,"Tank","Tank","Plastic",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"800",4,1,1,1,-79.92164,-2.245738,2016,6,163,"Tank","Tank","Plastic",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"802",7,0,0,1,-79.92057,-2.245402,2016,6,163,"Tank","Tank","Plastic",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"803",14,1,0,1,-79.92521,-2.246518,2016,6,163,"Tank","Tank","Plastic",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"804",33,0,0,1,-79.925147,-2.246527,2016,6,163,"Tank","Tank","Plastic",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"805",15,0,0,1,-79.924904,-2.246473,2016,6,163,"Tub","Tub","Plastic",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"806",52,1,1,1,-79.925299,-2.246989,2016,6,163,"Tank","Tank","Plastic",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"807",13,1,1,1,-79.924732,-2.247359,2016,6,163,"Bottle","Small Liq Storage","Plastic",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"808",36,1,1,1,-79.896175,-2.269698,2016,8,165,"Bucket Cap","Bucket Parts","Plastic",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"809",48,1,0,1,-79.895752,-2.270141,2016,8,165,"Tank","Tank","Metal",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"810",7,1,1,1,-79.895725,-2.269996,2016,8,165,"Tank","Tank","Plastic",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"811",3,1,0,1,-79.895617,-2.270232,2016,8,165,"Tank","Tank","Plastic",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"812",4,1,1,1,-79.892409,-2.26747,2016,8,165,"Tub","Tub","Plastic",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"813",10,1,0,1,-79.892139,-2.267841,2016,8,165,"Tank","Tank","Plastic",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"815",1,0,0,1,-79.892588,-2.267859,2016,8,165,"Vase","Vase","Plastic",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"816",58,1,1,1,-79.892265,-2.268085,2016,8,165,"Bucket Cap","Bucket Parts","Plastic",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"817",3,1,1,1,-79.89301,-2.269497,2016,8,165,"Tank","Tank","Plastic",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"818",14,1,1,1,-79.892361,-2.270763,2016,8,165,"Wheel Rim","Car Parts","Rubber",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"819",3,1,0,1,-79.891768,-2.270409,2016,8,165,"Tank","Tank","Plastic",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"820",31,1,0,1,-79.891273,-2.270653,2016,8,165,"Tub","Tub","Plastic",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"821",23,1,0,1,-79.891273,-2.270653,2016,8,165,"Pot","Small Liq Storage","Metal",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"822",21,1,1,1,-79.891273,-2.270653,2016,8,165,"Toilet","Toilet","Ceramic",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"823",13,1,1,1,-79.891273,-2.270653,2016,8,165,"Pot","Small Liq Storage","Metal",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"824",30,1,1,1,-79.891273,-2.270653,2016,8,165,"Bucket","Bucket Parts","Plastic",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"825",14,1,1,1,-79.890976,-2.271205,2016,8,165,"Jar","Small Liq Storage","Metal",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"826",15,1,0,1,-79.89014,-2.271738,2016,8,165,"Tank","Tank","Cement",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"827",1,1,0,1,-79.888143,-2.272216,2016,8,165,"Tank","Tank","Plastic",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"828",29,1,1,1,-79.887396,-2.27312,2016,8,165,"Wheel Rim","Car Parts","Rubber",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"829",24,1,0,1,999999,999999,2015,36,141,"Tank","Tank","Plastic",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"830",1,1,0,1,-79.925066,-2.245912,2016,6,163,"Bucket Cap","Bucket Parts","Plastic",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"831",41,1,1,1,-79.924526,-2.46753,2016,6,163,"Trash","Trash","Plastic",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"832",1,1,0,1,-79.925183,-2.245361,2016,6,163,"Tank","Tank","Metal",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"833",7,1,1,1,-79.925264,-2.245342,2016,6,163,"Trash","Trash","Plastic",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"834",14,1,1,1,-79.925264,-2.245342,2016,6,163,"Trash","Trash","Plastic",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"835",4,1,1,1,-79.925462,-2.245216,2016,6,163,"Bucket Cap","Bucket Parts","Plastic",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"836",13,1,1,1,-79.925462,-2.245216,2016,6,163,"Wheel Rim","Car Parts","Rubber",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"838",26,1,1,1,-79.930007,-2.239358,2016,7,164,"Wheel Rim","Car Parts","Rubber",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"839",22,1,0,1,-79.930601,-2.239919,2016,7,164,"Tank","Tank","Plastic",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"840",12,1,0,1,-79.928476,-2.243563,2016,7,164,"Tank","Tank","Plastic",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"841",18,1,0,1,-79.934076,-2.234196,2016,7,164,"Bucket Cap","Bucket Parts","Plastic",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"842",9,1,1,146,-79.934076,-2.234196,2016,7,164,"Furniture","Furniture","Metal",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
