"","IDP1","LarvSum","NumCriaderos","PupaeIndex","Date","CEpiWeek","SEStatus","LarvaePresence","NumChildren","NumAdults","InterruptFreq","InterruptDurHrs","TrashCollectPerWk","LargeSolidColl","SewerConn","FumigLWs","AbateLWs","BiolarvLWs","CanopyUse","ProtectMesh","BreedingSites","VolCriadero","OutsideLocation","DirtyWater","WaterVol","XCoord","YCoord","week0","week1","week2"
"34",17204,33,1,33,"2015-04-08",119,"Media",1,2,4,1,12,3,1,1,0,0,0,1,0,1,500,1,1,1,-79.92506,-2.09823,0.804155279995967,0.839095220678833,13.0468917093075
"35",16319,89,1,89,"2015-03-31",118,"Media",1,2,6,1,12,7,0,1,0,0,1,1,0,0,4500,0,NA,1,-79.92579,-2.09434,0.839095220678833,13.0468917093075,0.108176971595827
"36",16364,143,1,143,"2015-03-31",118,"Media",1,1,2,1,12,7,0,1,0,0,1,1,0,0,10500,1,1,1,-79.92278,-2.09471,0.839095220678833,13.0468917093075,0.108176971595827
"37",16844,1205,1,1205,"2015-04-07",119,"Media",1,1,5,1,24,3,0,1,0,0,1,1,0,0,12500,1,0,1,-79.92554,-2.0964,0.804155279995967,0.839095220678833,13.0468917093075
"38",17185,30,1,30,"2015-04-08",119,"Media",1,1,4,1,12,7,1,1,0,0,1,1,0,1,18000,1,0,1,-79.92401,-2.09785,0.804155279995967,0.839095220678833,13.0468917093075
"39",16408,73,1,73,"2015-03-31",118,"Media",1,2,4,1,12,7,0,1,0,0,0,1,1,1,320000,0,0,1,-79.92407,-2.09523,0.839095220678833,13.0468917093075,0.108176971595827
"40",16413,3,1,3,"2015-03-31",118,"Media",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,2000,0,0,1,-79.92405,-2.09514,0.839095220678833,13.0468917093075,0.108176971595827
"41",17165,372,1,372,"2015-04-08",119,"Media",1,0,6,1,3,3,1,1,0,0,0,1,0,1,2400,1,0,1,-79.922298,-2.098565,0.804155279995967,0.839095220678833,13.0468917093075
"42",16300,7,1,7,"2015-03-30",118,"Media",1,1,2,0,NA,3,0,1,0,0,1,0,0,0,4800,1,1,1,-79.92483,-2.09109,0.839095220678833,13.0468917093075,0.108176971595827
"43",17163,42,1,42,"2015-04-08",119,"Media",1,0,3,1,3,7,1,1,1,0,0,1,0,1,2250,1,1,1,-79.9222,-2.09877,0.804155279995967,0.839095220678833,13.0468917093075
"44",16975,38,1,38,"2015-04-07",119,"Media",1,1,2,1,24,3,0,1,0,0,1,1,0,1,6000,1,1,1,-79.92501,-2.09678,0.804155279995967,0.839095220678833,13.0468917093075
"45",10588,2,1,2,"2014-10-28",96,"Alta",1,2,2,1,3,7,1,1,0,0,1,0,0,1,96768,1,0,1,-79.89389,-2.21652,0,0.050000000745058,0.527621533177827
"46",9754,121,2,60.5,"2014-10-30",96,"Alta",1,1,4,0,0,7,1,0,1,0,1,1,0,1,162003.5,1,1,2,-79.887,-2.221163,0,0.050000000745058,0.527621533177827
"47",9723,69,1,69,"2014-10-30",96,"Alta",1,0,3,0,0,7,1,0,1,0,1,0,0,1,57660,0,0,1,-79.88684,-2.22157,0,0.050000000745058,0.527621533177827
"48",9568,861,2,430.5,"2014-10-29",96,"Alta",1,0,1,1,3,7,1,1,0,0,1,0,1,1,60064,0,0,2,-79.8954,-2.21691,0,0.050000000745058,0.527621533177827
"49",9522,18,1,18,"2014-10-29",96,"Alta",1,2,3,1,3,7,1,1,1,0,1,0,1,0,8820,1,1,1,-79.89667,-2.21641,0,0.050000000745058,0.527621533177827
"50",9667,38,1,38,"2014-10-30",96,"Alta",1,0,1,0,0,7,1,0,1,0,1,1,0,1,18000,1,0,1,-79.88657,-2.22181,0,0.050000000745058,0.527621533177827
"51",9651,3,1,3,"2014-10-30",96,"Alta",1,0,4,0,0,7,1,0,1,0,1,1,0,1,268037,0,0,1,-79.88643,-2.2218,0,0.050000000745058,0.527621533177827
"52",9732,40,1,40,"2014-10-30",96,"Alta",1,3,2,0,0,7,1,0,1,0,1,1,0,1,312852,0,0,1,-79.88683,-2.22163,0,0.050000000745058,0.527621533177827
"53",9678,16,1,16,"2014-10-30",96,"Alta",1,2,2,0,0,7,1,0,1,0,1,0,0,1,115200,0,0,1,-79.88661,-2.2217,0,0.050000000745058,0.527621533177827
"54",10590,3,1,3,"2014-10-28",96,"Alta",1,1,5,1,3,7,1,1,1,0,1,0,0,1,4000,0,0,1,-79.89258,-2.21825,0,0.050000000745058,0.527621533177827
"55",9787,88,1,88,"2014-10-30",96,"Alta",1,2,3,0,0,7,1,0,1,0,1,1,0,1,108000,0,0,1,-79.88698,-2.22172,0,0.050000000745058,0.527621533177827
"56",15868,20,1,20,"2015-01-13",107,"Baja",1,0,1,1,2,4,1,1,0,0,1,1,1,1,485980,0,0,1,-79.9087,-2.2078,0.169591813471279,6.9920856139479,0
"57",15697,15,1,15,"2015-01-13",107,"Baja",1,0,3,1,3,4,0,1,0,0,1,1,1,1,1200,0,NA,1,-79.9113,-2.21945,0.169591813471279,6.9920856139479,0
"58",16114,55,1,55,"2015-01-15",107,"Baja",1,0,3,1,3,4,1,1,0,0,1,0,0,1,371200,1,NA,1,-79.90877,-2.22129,0.169591813471279,6.9920856139479,0
