"","IDP1","PupaeSum","NumCriaderos","PupaeIndex","LarvaePresence","NumChildren","NumAdults","InterruptFreq","InterruptDurHrs","TrashCollectPerWk","LargeSolidColl","SewerConn","FumigLWs","AbateLWs","BiolarvLWs","CanopyUse","ProtectMesh","BreedingSites","VolCriadero","OutsideLocation","DirtyWater","WaterVol","XCoord","YCoord","week0","week1","week2"
"1",2698,1,1,1,1,1.45,3,0,0,3,1,1,0,0,1,0,1,1,150,1,0,51,-79.87751,-2.18153,2.66786558462406,33.8316910836188,23.0579382716282
"2",7653,1,1,1,1,1,1,0,0,4,0,1,0,0,1,0,1,0,750,0,1,1,-79.90555,-2.13106,0,0,1.32441350335757
"3",7673,13,1,13,1,2,3,1,24,3,1,1,0,0,0,0,1,1,2160,0,0,1,-79.90632,-2.13118,0,0,1.32441350335757
"4",7374,19,1,19,1,0,11,0,0,3,1,1,0,0,0,0,1,0,5103,1,0,1,-79.906,-2.13711,0,0,1.32441350335757
"5",7599,4,2,2,1,0,3,1,3,4,1,1,1,0,1,0,0,0,51637.5,0.72,0.283333333333333,2,-79.90359,-2.12994,0,0,1.32441350335757
"6",29938,6,1,6,1,2,8,0,0,3,1,0.85,1,0,0.18,0,0.3,0.19,0,0.94,0.170833333333333,1,-79.90846,-2.21084,36.0940795921754,15.7811808371229,22.8961676939234
"7",29588,8,1,8,1,0,3,0,0,3,1,0.84,0.86,0.00999999999999999,0.13,0,0.15,0.0299999999999999,0,1,1,92,-79.90846,-2.21084,36.0940795921754,15.7811808371229,22.8961676939234
"8",29935,1,1,1,1,3,4,0,0,3,1,0.794,1,0,0.44,0,0.21,0.11,0,1,1,64,-79.90846,-2.21084,36.0940795921754,15.7811808371229,22.8961676939234
"9",29811,2,1,2,1,2,5,0,0,3,1,0.784,1,0,0.42,0,0.18,0.0499999999999999,0,1,0,117,-79.90846,-2.21084,36.0940795921754,15.7811808371229,22.8961676939234
"10",29790,27,3,9,1,0,2,0,0,3,1,0.82,1,0,0.2,0,0.24,0.0399999999999999,0,1,1,296,-79.90846,-2.21084,36.0940795921754,15.7811808371229,22.8961676939234
"11",29921,1,1,1,1,3,5,0,0,3,1,0.824,1,0,0.39,0,0.22,0.0899999999999999,0,1,0,23,-79.90846,-2.21084,36.0940795921754,15.7811808371229,22.8961676939234
"12",30107,25,2,12.5,1,0,2,0,0,3,1,0.79,1,0,0.19,0,0.21,0.0499999999999999,0,1,0,90,-79.90846,-2.21084,36.0940795921754,15.7811808371229,22.8961676939234
