"","X","IDP1","PupaeSum","NumCriaderos","PupaeIndex","LarvaePresence","NumChildren","NumAdults","InterruptFreq","InterruptDurHrs","TrashCollectPerWk","LargeSolidColl","SewerConn","FumigLWs","AbateLWs","BiolarvLWs","CanopyUse","ProtectMesh","BreedingSites","VolCriadero","OutsideLocation","DirtyWater","WaterVol","XCoord","YCoord","week0","week1","week2"
"1",1,2698,1,1,1,1,1.45,3,0,0,3,1,1,0,0,1,0,1,1,150,1,0,51,-79.87751,-2.18153,2.66786558462406,33.8316910836188,23.0579382716282
"2",6,29938,6,1,6,1,2,8,0,0,3,1,0.85,1,0,0.18,0,0.3,0.19,0,0.94,0.170833333333333,1,-79.90846,-2.21084,36.0940795921754,15.7811808371229,22.8961676939234
"3",7,29588,8,1,8,1,0,3,0,0,3,1,0.84,0.86,0.00999999999999999,0.13,0,0.15,0.0299999999999999,0,1,1,92,-79.90846,-2.21084,36.0940795921754,15.7811808371229,22.8961676939234
"4",8,29935,1,1,1,1,3,4,0,0,3,1,0.794,1,0,0.44,0,0.21,0.11,0,1,1,64,-79.90846,-2.21084,36.0940795921754,15.7811808371229,22.8961676939234
"5",9,29811,2,1,2,1,2,5,0,0,3,1,0.784,1,0,0.42,0,0.18,0.0499999999999999,0,1,0,117,-79.90846,-2.21084,36.0940795921754,15.7811808371229,22.8961676939234
"6",10,29790,27,3,9,1,0,2,0,0,3,1,0.82,1,0,0.2,0,0.24,0.0399999999999999,0,1,1,296,-79.90846,-2.21084,36.0940795921754,15.7811808371229,22.8961676939234
"7",11,29921,1,1,1,1,3,5,0,0,3,1,0.824,1,0,0.39,0,0.22,0.0899999999999999,0,1,0,23,-79.90846,-2.21084,36.0940795921754,15.7811808371229,22.8961676939234
"8",12,30107,25,2,12,1,0,2,0,0,3,1,0.79,1,0,0.19,0,0.21,0.0499999999999999,0,1,0,90,-79.90846,-2.21084,36.0940795921754,15.7811808371229,22.8961676939234
"9",13,29573,2,1,2,0.93,4,2,0,0,3,1,0.874,0.66,0.29,0.46,0,0.32,0.22,0,0.95,0.386666666666667,1,-79.90846,-2.21084,36.0940795921754,15.7811808371229,22.8961676939234
"10",14,29854,24,2,12,1,0,1,0,0,3,1,0.83,1,0,0.17,0,0.22,0.0699999999999999,0,1,1,77,-79.90846,-2.21084,36.0940795921754,15.7811808371229,22.8961676939234
"11",15,29515,16,1,16,1,0,1,0,0,3,1,0.85,0.63,0.21,0.38,0,0.37,0.43,216000,1,0,1,-79.90846,-2.21084,36.0940795921754,15.7811808371229,22.8961676939234
"12",16,9169,9,1,9,1,0,4,1,1,7,1,1,0,0,1,1,0,1,323680,1,0,1,-79.91015,-2.21142,0,0,0
"13",17,29561,5,1,5,1,6,3,0,0,3,1,0.87,0.59,0.11,0.36,0,0.38,0.4,80000,1,0,1,-79.90846,-2.21084,36.0940795921754,15.7811808371229,22.8961676939234
"14",18,29846,7,1,7,1,2,5,0,0,3,1,0.84,1,0,0.18,0,0.31,0.21,0,1,0,1,-79.90846,-2.21084,36.0940795921754,15.7811808371229,22.8961676939234
"15",19,30063,30,1,30,1,3,2,0,0,3,1,0.765,1,0,0.19,0,0.15,0.0399999999999999,0,1,1,116,-79.90846,-2.21084,36.0940795921754,15.7811808371229,22.8961676939234
